TransactionID,Date,Month,Month_Num,Quarter,Year,Region,Vendor,Category,Product,Unit_Price_BDT,Quantity,Discount_Pct,Total_Sale_BDT,Customer_Segment,Sales_Channel,Payment_Method
TXN0051,2024-01-13,January,1,Q1,2024,Sylhet,Bismillah Trading,Electronics,Smart TV,35000,24,8.0,772800.0,Corporate,In-Store,Bank Transfer
TXN0052,2024-01-13,January,1,Q1,2024,Chattogram,Karnaphuli Goods,Stationery & Office,Notebook,60,37,8.0,2042.4,Corporate,Field Agent,Nagad
TXN0053,2024-01-14,January,1,Q1,2024,Mymensingh,Greenfield Distributors,Cosmetics & Beauty,Talcum Powder,90,19,1.7,1680.93,Retail,Field Agent,bKash
TXN0054,2024-01-15,January,1,Q1,2024,Mymensingh,Bangladesh Agro Depot,Clothing & Textiles,Saree,1200,10,4.2,11496.0,Wholesale,In-Store,Cash
TXN0055,2024-01-15,January,1,Q1,2024,Mymensingh,Meghna Traders,Agro Products,Fertilizer,1200,40,9.6,43392.0,Government,Distributor,Cash
TXN0056,2024-01-15,January,1,Q1,2024,Khulna,Prime Goods BD,Electronics,Smart TV,35000,34,11.5,1053150.0,Corporate,In-Store,Credit Card
TXN0057,2024-01-16,January,1,Q1,2024,Dhaka,Greenfield Distributors,Pharmaceuticals,Saline,40,20,12.3,701.6,Government,Online,Cash
TXN0058,2024-01-17,January,1,Q1,2024,Sylhet,Halda Merchants,Pharmaceuticals,Vitamin C,30,13,0.3,388.83,Government,In-Store,Credit Card
TXN0059,2024-01-17,January,1,Q1,2024,Barishal,Surma Trade Co.,Home & Furniture,Bed Sheet Set,950,50,8.0,43700.0,Retail,Field Agent,Credit Card
TXN0060,2024-01-17,January,1,Q1,2024,Mymensingh,Bangladesh Agro Depot,Electronics,Rice Cooker,2200,13,10.7,25539.8,Government,Online,Bank Transfer
TXN0061,2024-01-17,January,1,Q1,2024,Dhaka,Al-Amin Wholesale,Electronics,Smart TV,35000,31,13.7,936355.0,Wholesale,In-Store,bKash
TXN0062,2024-01-18,January,1,Q1,2024,Rajshahi,Teesta Traders,Food & Beverage,Rice (50kg),2800,27,10.0,68040.0,Government,Online,Credit Card
TXN0063,2024-01-18,January,1,Q1,2024,Sylhet,Prime Goods BD,Food & Beverage,Mineral Water,20,42,5.7,792.12,Retail,Field Agent,Bank Transfer
TXN0064,2024-01-18,January,1,Q1,2024,Rajshahi,Bismillah Trading,Home & Furniture,Plastic Chair,600,6,14.7,3070.8,Corporate,Field Agent,Credit Card
TXN0065,2024-01-19,January,1,Q1,2024,Chattogram,Halda Merchants,Electronics,Electric Fan,1500,39,9.5,52942.5,Government,Online,Bank Transfer
TXN0066,2024-01-19,January,1,Q1,2024,Sylhet,Rahim & Sons Co.,Food & Beverage,Biscuit Pack,120,17,8.3,1870.68,Wholesale,In-Store,Nagad
TXN0067,2024-01-20,January,1,Q1,2024,Dhaka,National Suppliers Ltd.,Home & Furniture,Bed Sheet Set,950,18,11.9,15065.1,Retail,Field Agent,Bank Transfer
TXN0068,2024-01-20,January,1,Q1,2024,Dhaka,Star Mart BD,Agro Products,Pesticide,850,20,13.1,14773.0,Wholesale,Distributor,Nagad
TXN0069,2024-01-21,January,1,Q1,2024,Dhaka,Surma Trade Co.,Stationery & Office,Stapler,350,43,6.7,14041.65,Corporate,In-Store,Credit Card
TXN0070,2024-01-21,January,1,Q1,2024,Chattogram,Halda Merchants,Cosmetics & Beauty,Talcum Powder,90,21,0.3,1884.33,Retail,In-Store,Credit Card
TXN0071,2024-01-21,January,1,Q1,2024,Rajshahi,Jamuna Suppliers,Home & Furniture,Pillow,350,4,14.2,1201.2,Wholesale,Distributor,Bank Transfer
TXN0072,2024-01-21,January,1,Q1,2024,Dhaka,Meghna Traders,Electronics,Smart TV,35000,14,12.3,429730.0,Retail,Online,bKash
TXN0073,2024-01-21,January,1,Q1,2024,Rajshahi,Prime Goods BD,Home & Furniture,Steel Almirah,8500,10,2.8,82620.0,Corporate,In-Store,bKash
TXN0074,2024-01-22,January,1,Q1,2024,Chattogram,Surma Trade Co.,Electronics,Mobile Phone,18000,1,5.4,17028.0,Wholesale,Field Agent,Cash
TXN0075,2024-01-22,January,1,Q1,2024,Dhaka,National Suppliers Ltd.,Food & Beverage,Noodles,25,35,12.4,766.5,Government,Distributor,Nagad
TXN0076,2024-01-23,January,1,Q1,2024,Mymensingh,Surma Trade Co.,Stationery & Office,Printer Paper,550,13,0.1,7142.85,Wholesale,Distributor,Cash
TXN0077,2024-01-23,January,1,Q1,2024,Sylhet,Surma Trade Co.,Home & Furniture,Bed Sheet Set,950,50,8.3,43557.5,Wholesale,Field Agent,Nagad
TXN0078,2024-01-23,January,1,Q1,2024,Dhaka,Dhaka General Supplies,Stationery & Office,Stapler,350,9,14.8,2683.8,Wholesale,Online,Nagad
TXN0079,2024-01-23,January,1,Q1,2024,Khulna,Rupsha Distributors,Home & Furniture,Bed Sheet Set,950,11,9.1,9499.05,Retail,Online,Nagad
TXN0080,2024-01-23,January,1,Q1,2024,Khulna,National Suppliers Ltd.,Pharmaceuticals,Paracetamol,10,5,0.0,50.0,Retail,In-Store,bKash
TXN0081,2024-01-24,January,1,Q1,2024,Rajshahi,Teesta Traders,Cosmetics & Beauty,Talcum Powder,90,44,9.8,3571.92,Corporate,Distributor,bKash
TXN0082,2024-01-24,January,1,Q1,2024,Dhaka,Jamuna Suppliers,Agro Products,Pesticide,850,48,9.9,36760.8,Retail,Distributor,bKash
TXN0083,2024-01-24,January,1,Q1,2024,Chattogram,Halda Merchants,Cosmetics & Beauty,Lipstick,150,46,0.9,6837.9,Corporate,In-Store,Cash
TXN0084,2024-01-24,January,1,Q1,2024,Khulna,National Suppliers Ltd.,Clothing & Textiles,Saree,1200,49,13.4,50920.8,Retail,Online,bKash
TXN0085,2024-01-24,January,1,Q1,2024,Chattogram,Bangladesh Agro Depot,Agro Products,Jute Bale,2200,39,8.9,78163.8,Wholesale,Distributor,Bank Transfer
TXN0086,2024-01-24,January,1,Q1,2024,Dhaka,Jamuna Suppliers,Agro Products,Hybrid Seeds,300,24,5.4,6811.2,Corporate,Field Agent,Cash
TXN0087,2024-01-24,January,1,Q1,2024,Khulna,Rahim & Sons Co.,Home & Furniture,Pillow,350,20,10.0,6300.0,Corporate,Distributor,Nagad
TXN0088,2024-01-25,January,1,Q1,2024,Rajshahi,Bismillah Trading,Stationery & Office,Ballpoint Pen Box,180,8,14.6,1229.76,Government,In-Store,Nagad
TXN0089,2024-01-25,January,1,Q1,2024,Dhaka,Shovon Brothers Ltd.,Pharmaceuticals,Antacid Syrup,80,7,13.5,484.4,Wholesale,Distributor,Bank Transfer
TXN0090,2024-01-25,January,1,Q1,2024,Khulna,Rahim & Sons Co.,Clothing & Textiles,T-Shirt,450,50,0.9,22297.5,Government,Field Agent,Cash
TXN0091,2024-01-25,January,1,Q1,2024,Rajshahi,National Suppliers Ltd.,Pharmaceuticals,Antacid Syrup,80,42,3.4,3245.76,Wholesale,Field Agent,Bank Transfer
TXN0092,2024-01-25,January,1,Q1,2024,Sylhet,Bismillah Trading,Agro Products,Hybrid Seeds,300,50,11.5,13275.0,Retail,In-Store,Credit Card
TXN0093,2024-01-25,January,1,Q1,2024,Chattogram,Shovon Brothers Ltd.,Food & Beverage,Noodles,25,20,11.8,441.0,Corporate,Online,Credit Card
TXN0094,2024-01-27,January,1,Q1,2024,Dhaka,Shovon Brothers Ltd.,Agro Products,Hybrid Seeds,300,46,6.8,12861.6,Wholesale,In-Store,bKash
TXN0095,2024-01-27,January,1,Q1,2024,Chattogram,Bismillah Trading,Electronics,Rice Cooker,2200,14,10.7,27504.4,Corporate,Online,Credit Card
TXN0096,2024-01-27,January,1,Q1,2024,Rajshahi,Sonali Commerce,Pharmaceuticals,Vitamin C,30,13,2.7,379.47,Corporate,Field Agent,Bank Transfer
TXN0097,2024-01-28,January,1,Q1,2024,Khulna,National Suppliers Ltd.,Stationery & Office,Stapler,350,21,1.8,7217.7,Government,In-Store,Cash
TXN0098,2024-01-28,January,1,Q1,2024,Rajshahi,Rahim & Sons Co.,Pharmaceuticals,Saline,40,25,0.1,999.0,Government,Field Agent,Nagad
TXN0099,2024-01-28,January,1,Q1,2024,Chattogram,Shovon Brothers Ltd.,Electronics,Rice Cooker,2200,19,7.0,38874.0,Government,Field Agent,bKash
TXN0100,2024-01-28,January,1,Q1,2024,Mymensingh,Prime Goods BD,Electronics,Mobile Phone,18000,3,7.1,50166.0,Government,Online,bKash
TXN0101,2024-01-29,January,1,Q1,2024,Dhaka,National Suppliers Ltd.,Clothing & Textiles,Panjabi,950,12,8.2,10465.2,Corporate,Online,Credit Card
TXN0102,2024-01-29,January,1,Q1,2024,Barishal,Rahim & Sons Co.,Pharmaceuticals,Saline,40,45,0.7,1787.4,Retail,Distributor,Nagad
TXN0103,2024-01-30,January,1,Q1,2024,Khulna,Rupsha Distributors,Stationery & Office,Calculator,750,43,12.4,28251.0,Wholesale,In-Store,Credit Card
TXN0104,2024-01-30,January,1,Q1,2024,Barishal,Metro Trading House,Clothing & Textiles,T-Shirt,450,26,7.3,10845.9,Wholesale,Online,Credit Card
TXN0105,2024-01-31,January,1,Q1,2024,Rajshahi,Bangladesh Agro Depot,Clothing & Textiles,Panjabi,950,41,3.2,37703.6,Retail,Online,bKash
TXN0106,2024-01-31,January,1,Q1,2024,Sylhet,Prime Goods BD,Agro Products,Pesticide,850,43,7.4,33845.3,Government,Distributor,Cash
TXN0107,2024-02-01,February,2,Q1,2024,Sylhet,Surma Trade Co.,Stationery & Office,Printer Paper,550,3,1.3,1628.55,Retail,Online,Nagad
TXN0108,2024-02-01,February,2,Q1,2024,Chattogram,Karnaphuli Goods,Home & Furniture,Plastic Chair,600,42,11.7,22251.6,Retail,Distributor,Nagad
TXN0109,2024-02-02,February,2,Q1,2024,Chattogram,Halda Merchants,Agro Products,Hybrid Seeds,300,7,0.0,2100.0,Government,Online,Cash
TXN0110,2024-02-02,February,2,Q1,2024,Sylhet,Bangladesh Agro Depot,Cosmetics & Beauty,Talcum Powder,90,49,8.9,4017.51,Retail,Online,Bank Transfer
TXN0111,2024-02-02,February,2,Q1,2024,Dhaka,Jamuna Suppliers,Cosmetics & Beauty,Lipstick,150,44,10.8,5887.2,Government,Field Agent,Bank Transfer
TXN0112,2024-02-02,February,2,Q1,2024,Mymensingh,Dhaka General Supplies,Food & Beverage,Mustard Oil,180,11,3.9,1902.78,Wholesale,Distributor,Credit Card
TXN0113,2024-02-03,February,2,Q1,2024,Chattogram,Dhaka General Supplies,Clothing & Textiles,Panjabi,950,31,9.5,26652.25,Retail,Field Agent,Credit Card
TXN0114,2024-02-03,February,2,Q1,2024,Rangpur,Padma Enterprise,Cosmetics & Beauty,Lipstick,150,49,4.5,7019.25,Wholesale,Field Agent,Bank Transfer
TXN0115,2024-02-03,February,2,Q1,2024,Dhaka,Metro Trading House,Clothing & Textiles,Panjabi,950,46,11.6,38630.8,Corporate,Distributor,Nagad
TXN0116,2024-02-03,February,2,Q1,2024,Chattogram,Al-Amin Wholesale,Pharmaceuticals,Vitamin C,30,14,12.9,365.82,Wholesale,Distributor,Nagad
TXN0117,2024-02-03,February,2,Q1,2024,Dhaka,National Suppliers Ltd.,Electronics,Rice Cooker,2200,27,1.6,58449.6,Retail,Distributor,Credit Card
TXN0118,2024-02-04,February,2,Q1,2024,Dhaka,Meghna Traders,Stationery & Office,Notebook,60,47,2.2,2757.96,Wholesale,In-Store,Bank Transfer
TXN0119,2024-02-04,February,2,Q1,2024,Chattogram,Star Mart BD,Food & Beverage,Biscuit Pack,120,29,2.9,3379.08,Corporate,In-Store,Cash
TXN0120,2024-02-04,February,2,Q1,2024,Chattogram,Greenfield Distributors,Food & Beverage,Biscuit Pack,120,28,11.9,2960.16,Corporate,Online,Cash
TXN0121,2024-02-04,February,2,Q1,2024,Dhaka,Bismillah Trading,Food & Beverage,Mustard Oil,180,14,13.7,2174.76,Wholesale,Field Agent,Bank Transfer
TXN0122,2024-02-04,February,2,Q1,2024,Rajshahi,Sonali Commerce,Cosmetics & Beauty,Shampoo,220,39,11.9,7558.98,Wholesale,Distributor,Bank Transfer
TXN0123,2024-02-04,February,2,Q1,2024,Sylhet,Greenfield Distributors,Electronics,Rice Cooker,2200,1,14.5,1881.0,Wholesale,Online,Bank Transfer
TXN0124,2024-02-05,February,2,Q1,2024,Dhaka,Al-Amin Wholesale,Cosmetics & Beauty,Face Cream,250,15,12.3,3288.75,Corporate,In-Store,Bank Transfer
TXN0125,2024-02-05,February,2,Q1,2024,Sylhet,Rupsha Distributors,Agro Products,Jute Bale,2200,35,14.6,65758.0,Corporate,In-Store,Cash
TXN0126,2024-02-05,February,2,Q1,2024,Rajshahi,Star Mart BD,Pharmaceuticals,Antacid Syrup,80,45,11.0,3204.0,Wholesale,Distributor,Bank Transfer
TXN0127,2024-02-05,February,2,Q1,2024,Chattogram,Metro Trading House,Pharmaceuticals,Vitamin C,30,9,6.2,253.26,Wholesale,Field Agent,Nagad
TXN0128,2024-02-05,February,2,Q1,2024,Chattogram,Al-Amin Wholesale,Electronics,Rice Cooker,2200,7,5.7,14522.2,Retail,In-Store,Cash
TXN0129,2024-02-05,February,2,Q1,2024,Dhaka,Meghna Traders,Cosmetics & Beauty,Talcum Powder,90,45,8.9,3689.55,Retail,Online,Cash
TXN0130,2024-02-06,February,2,Q1,2024,Sylhet,Prime Goods BD,Food & Beverage,Rice (50kg),2800,13,1.9,35708.4,Government,In-Store,Bank Transfer
TXN0131,2024-02-06,February,2,Q1,2024,Chattogram,Shovon Brothers Ltd.,Stationery & Office,Ballpoint Pen Box,180,12,2.8,2099.52,Government,Online,Nagad
TXN0132,2024-02-06,February,2,Q1,2024,Dhaka,Dhaka General Supplies,Agro Products,Hybrid Seeds,300,5,9.4,1359.0,Retail,In-Store,Bank Transfer
TXN0133,2024-02-06,February,2,Q1,2024,Dhaka,Shovon Brothers Ltd.,Home & Furniture,Plastic Chair,600,9,11.1,4800.6,Retail,In-Store,Bank Transfer
TXN0134,2024-02-06,February,2,Q1,2024,Khulna,Star Mart BD,Stationery & Office,Printer Paper,550,23,3.3,12232.55,Corporate,Online,bKash
TXN0135,2024-02-06,February,2,Q1,2024,Sylhet,Halda Merchants,Electronics,Mobile Phone,18000,29,5.4,493812.0,Wholesale,In-Store,Credit Card
TXN0136,2024-02-07,February,2,Q1,2024,Barishal,Teesta Traders,Cosmetics & Beauty,Shampoo,220,10,2.4,2147.2,Wholesale,Field Agent,bKash
TXN0137,2024-02-07,February,2,Q1,2024,Sylhet,Prime Goods BD,Home & Furniture,Bed Sheet Set,950,28,8.8,24259.2,Corporate,Field Agent,Credit Card
TXN0138,2024-02-07,February,2,Q1,2024,Rajshahi,Bismillah Trading,Pharmaceuticals,Paracetamol,10,32,7.5,296.0,Corporate,Distributor,Cash
TXN0139,2024-02-07,February,2,Q1,2024,Chattogram,Karnaphuli Goods,Electronics,Rice Cooker,2200,34,10.5,66946.0,Retail,Distributor,Bank Transfer
TXN0140,2024-02-07,February,2,Q1,2024,Rajshahi,Bismillah Trading,Home & Furniture,Pillow,350,9,13.9,2712.15,Government,Distributor,Cash
TXN0141,2024-02-08,February,2,Q1,2024,Chattogram,Shovon Brothers Ltd.,Electronics,Laptop,55000,44,13.8,2086040.0,Corporate,Online,Cash
TXN0142,2024-02-08,February,2,Q1,2024,Dhaka,Dhaka General Supplies,Agro Products,Pesticide,850,30,4.7,24301.5,Retail,Online,Bank Transfer
TXN0143,2024-02-08,February,2,Q1,2024,Mymensingh,Greenfield Distributors,Pharmaceuticals,Paracetamol,10,23,1.2,227.24,Government,Online,Credit Card
TXN0144,2024-02-08,February,2,Q1,2024,Barishal,Rupsha Distributors,Pharmaceuticals,Antibiotic,150,4,15.0,510.0,Corporate,Field Agent,Nagad
TXN0145,2024-02-09,February,2,Q1,2024,Dhaka,Prime Goods BD,Food & Beverage,Mustard Oil,180,21,9.0,3439.8,Retail,Field Agent,Cash
TXN0146,2024-02-09,February,2,Q1,2024,Chattogram,Prime Goods BD,Cosmetics & Beauty,Hair Oil,180,49,8.6,8061.48,Retail,Distributor,Bank Transfer
TXN0147,2024-02-09,February,2,Q1,2024,Barishal,Rupsha Distributors,Cosmetics & Beauty,Hair Oil,180,35,3.1,6104.7,Corporate,Online,Nagad
TXN0148,2024-02-09,February,2,Q1,2024,Khulna,Sonali Commerce,Home & Furniture,Curtain,700,25,8.4,16030.0,Wholesale,Field Agent,Bank Transfer
TXN0149,2024-02-09,February,2,Q1,2024,Rangpur,Bangladesh Agro Depot,Clothing & Textiles,Panjabi,950,7,5.9,6257.65,Corporate,Field Agent,bKash
TXN0150,2024-02-09,February,2,Q1,2024,Barishal,Rupsha Distributors,Electronics,Mobile Phone,18000,8,11.9,126864.0,Government,Distributor,bKash
TXN0151,2024-02-09,February,2,Q1,2024,Rangpur,Bangladesh Agro Depot,Electronics,Mobile Phone,18000,14,8.0,231840.0,Retail,Field Agent,Credit Card
TXN0152,2024-02-09,February,2,Q1,2024,Dhaka,Jamuna Suppliers,Cosmetics & Beauty,Shampoo,220,29,4.7,6080.14,Government,Online,Nagad
TXN0153,2024-02-10,February,2,Q1,2024,Chattogram,Star Mart BD,Stationery & Office,Ballpoint Pen Box,180,24,12.1,3797.28,Wholesale,Distributor,Cash
TXN0154,2024-02-10,February,2,Q1,2024,Mymensingh,Greenfield Distributors,Electronics,Laptop,55000,35,8.5,1761375.0,Corporate,Online,bKash
TXN0155,2024-02-10,February,2,Q1,2024,Dhaka,Teesta Traders,Pharmaceuticals,Paracetamol,10,4,5.9,37.64,Government,Online,Cash
TXN0156,2024-02-10,February,2,Q1,2024,Mymensingh,Al-Amin Wholesale,Agro Products,Jute Bale,2200,32,11.0,62656.0,Corporate,Distributor,Nagad
TXN0157,2024-02-10,February,2,Q1,2024,Chattogram,Bangladesh Agro Depot,Cosmetics & Beauty,Hair Oil,180,9,5.0,1539.0,Government,In-Store,Credit Card
TXN0158,2024-02-10,February,2,Q1,2024,Dhaka,Shovon Brothers Ltd.,Pharmaceuticals,Paracetamol,10,38,11.0,338.2,Retail,Field Agent,Cash
TXN0159,2024-02-10,February,2,Q1,2024,Dhaka,National Suppliers Ltd.,Cosmetics & Beauty,Talcum Powder,90,44,10.5,3544.2,Corporate,Field Agent,Nagad
TXN0160,2024-02-11,February,2,Q1,2024,Chattogram,Greenfield Distributors,Home & Furniture,Pillow,350,11,1.3,3799.95,Corporate,Distributor,Nagad
TXN0161,2024-02-11,February,2,Q1,2024,Rajshahi,Teesta Traders,Electronics,Rice Cooker,2200,16,7.2,32665.6,Retail,In-Store,Cash
TXN0162,2024-02-11,February,2,Q1,2024,Rangpur,Halda Merchants,Stationery & Office,Notebook,60,44,3.1,2558.16,Government,In-Store,Credit Card
TXN0163,2024-02-11,February,2,Q1,2024,Dhaka,Meghna Traders,Home & Furniture,Bed Sheet Set,950,8,14.6,6490.4,Government,In-Store,Credit Card
TXN0164,2024-02-11,February,2,Q1,2024,Chattogram,Prime Goods BD,Food & Beverage,Biscuit Pack,120,11,11.1,1173.48,Government,In-Store,Cash
TXN0165,2024-02-11,February,2,Q1,2024,Rajshahi,Bismillah Trading,Home & Furniture,Steel Almirah,8500,8,0.4,67728.0,Wholesale,Distributor,Credit Card
